ConstCode,PageLink
5031,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=pyuthan1
5041,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=gulmi1
5042,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=gulmi2
5051,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=arghakhanchi1
5061,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=palpa1
5062,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=palpa2
5071,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=parasi1
5072,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=parasi2
5081,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=rupendehi1
5082,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=rupendehi2
5083,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=rupendehi3
5084,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=rupendehi4
5085,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=rupendehi5
5091,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=kapilbstu1
5092,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=kapilbstu2
5093,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=kapilbstu3
5101,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=dang1
5102,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=dang2
5103,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=dang3
5111,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=banke1
5112,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=banke2
5113,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=banke3
5121,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=bardiya1
5122,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=bardiya2
6011,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=dolpa1
6021,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=mugu1
6031,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=humla1
6041,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=jumla1
6051,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=kalikot1
6061,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=dailekh1
6062,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=dailekh2
6071,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=jajrkot1
6081,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=rukum2
6091,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=salyan1
6101,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=surkhet1
6102,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=surkhet2
7011,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=bajura1
7021,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=bajhang1
7031,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=darchula1
7041,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=baitadi1
7051,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=dadeldhura1
7061,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=doti1
7071,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=achham1
7072,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=achham2
7081,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=kailali1
7082,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=kailali2
7083,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=kailali3
7084,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=kailali4
7085,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=kailali5
7091,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=kanchanpur1
7092,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=kanchanpur2
7093,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=kanchanpur3
