StateID,Dcode,ConstCode,Constituency,1stCandidate,1stGender,1stAge,1stAgeBracket,1stPartyID,1stPhoto,1stTotalVoteReceived,2ndCandidate,2ndGender,2ndAge,2ndAgeBracket,2ndPartyID,2ndTotalVoteReceived,2ndPhoto,3rdCandidate,3rdGender,3rdAge,3rdAgeBracket,3rdPartyID,3rdTotalVoteReceived,3rdPhoto
1,113,1132,सुनसरी-2,भीम प्रसाद आचार्य,M,63,60+,1,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Bhim-Acharya.jpg,32024,सिताराम महतो,M,67,60+,2,26068,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Sitaram-Mehta.jpg,लाल बिक्रम थापा,M,36,21-40,93,19391,https://election.onlinekhabar.com/wp-content/themes/election-2079/assets/img/user-avatar.jpg
1,113,1133,सुनसरी-3,भगवती चौधरी,F,51,41-60,1,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Bhagwati-Chaudhary.jpg,40788,विजय कुमार गच्‍छदार,M,68,60+,2,35600,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Bijay-Bhakta-Shrestha.jpg,कमल बाबु मैनाली,M,50,41-60,93,6453,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Kamal-Babu-Mainali.jpg
1,113,1134,सुनसरी-4,ज्ञानेन्द्र बहादुर कार्की,M,65,60+,2,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Gyanendra-Bahadur-Karki.jpg,30483,जगदिश प्रसाद कुसियैत,M,62,60+,1,30371,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Jagdish-Prasad-Kusiyait.jpg,विध्यानन्द यादव,M,35,21-40,4,3232,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Bidhya-Nanda-Yadav.jpg
1,114,1141,उदयपुर-1,डा. नारायण खड्का,M,73,60+,2,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Narayan-Khadka.jpg,31270,मन्जु कुमारी चौधरी,F,48,41-60,1,28891,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Manju-Chaudhary.jpg,धुर्व कुमार राय माझी,M,53,41-60,4,3915,https://election.onlinekhabar.com/wp-content/themes/election-2079/assets/img/user-avatar.jpg
1,114,1142,उदयपुर-2,अम्वर बहादुर रायामाझी,M,53,41-60,1,https://election.onlinekhabar.com/wp-content/uploads/2022/11/Ambar-bahadur-rayamajhi.jpg,15251,जगन्नाथ खतिवडा,M,60,41-60,38,12893,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Jaggannath-Khatiwada.jpg,राम कुमार राई,M,50,41-60,13,10379,https://election.onlinekhabar.com/wp-content/themes/election-2079/assets/img/user-avatar.jpg
2,201,2011,सप्तरी-1,नवल किसोर साह सुडी,M,73,60+,41,https://election.onlinekhabar.com/wp-content/uploads/2022/11/%E0%A4%A8%E0%A4%B5%E0%A4%B2-%E0%A4%95%E0%A4%BF%E0%A4%B8%E0%A5%8B%E0%A4%B0-%E0%A4%B8%E0%A4%BE%E0%A4%B9-%E0%A4%B8%E0%A5%81%E0%A4%A1%E0%A5%80-_.jpg,23604,जय कान्त राउत,M,49,41-60,48,19996,https://election.onlinekhabar.com/wp-content/themes/election-2079/assets/img/user-avatar.jpg,रामदेव साह(तेली),M,63,60+,2,14312,https://election.onlinekhabar.com/wp-content/uploads/2022/11/ramdev-saha-teli-_.jpg
2,201,2012,सप्तरी-2,चन्द्र कान्त राउत,M,45,41-60,48,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/CK-raut-1.jpg,35042,उपेन्द्र यादव,M,61,60+,41,16979,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Upendra-yadav-1.jpg,जय प्रकाश ठाकुर,M,66,60+,44,7347,https://election.onlinekhabar.com/wp-content/uploads/2022/11/jaya-prakash-thakur-_.jpg
2,201,2013,सप्तरी-3,दिनेश कुमार यादव,M,61,60+,2,https://election.onlinekhabar.com/wp-content/uploads/2022/11/dinesh-kumar-yadav-_.jpg,26166,ताराकान्त चौधरी,M,57,41-60,1,22300,https://election.onlinekhabar.com/wp-content/uploads/2022/11/tarakanta-chaudhary-_.jpg,अनिश अंसारी,M,68,60+,48,15114,https://election.onlinekhabar.com/wp-content/uploads/2022/11/ANISH-ANSARI-_.jpg
2,201,2014,सप्तरी-4,तेजु लाल चौधरी,M,60,41-60,2,https://election.onlinekhabar.com/wp-content/uploads/2022/11/teju-lal-chaudhary-_.jpg,23491,वालकिसोर यादव,M,48,41-60,41,17977,https://election.onlinekhabar.com/wp-content/uploads/2022/11/balkishor-yadav-_.jpg,सुकदेव प्रसाद साह,M,72,60+,48,12925,https://election.onlinekhabar.com/wp-content/themes/election-2079/assets/img/user-avatar.jpg
2,202,2021,सिराहा-1,राम शंकर यादव,M,61,60+,1,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Ram-sharkar-yadav-_.jpg,29462,पदम नारायण चौधरी,M,74,60+,2,27379,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Padma-Narayan-Chaudhary-_.jpg,युगल किशोर साह,M,42,41-60,48,6849,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/yugal-kishor-saha-_.jpg
