StateID,State,Dcode,District,ConstCode,Constituency,X,Y,Font_size
5,लुम्बिनी प्रदेश,502,रोल्पा,5021,रोल्पा-1,0,0,0
5,लुम्बिनी प्रदेश,503,प्यूठान,5031,प्यूठान-1,0,0,0
5,लुम्बिनी प्रदेश,504,गुल्मी,5041,गुल्मी-1,0,0,0
5,लुम्बिनी प्रदेश,504,गुल्मी,5042,गुल्मी-2,0,0,0
5,लुम्बिनी प्रदेश,505,अर्घाखांची,5051,अर्घाखांची-1,0,0,0
5,लुम्बिनी प्रदेश,506,पाल्पा,5061,पाल्पा-1,0,0,0
5,लुम्बिनी प्रदेश,506,पाल्पा,5062,पाल्पा-2,0,0,0
5,लुम्बिनी प्रदेश,507,नवलपरासी (बर्दघाट सुस्ता पश्चिम),5071,नवलपरासी (बर्दघाट सुस्ता पश्चिम)-1,0,0,0
5,लुम्बिनी प्रदेश,507,नवलपरासी (बर्दघाट सुस्ता पश्चिम),5072,नवलपरासी (बर्दघाट सुस्ता पश्चिम)-2,0,0,0
5,लुम्बिनी प्रदेश,508,रुपन्देही,5081,रुपन्देही-1,0,0,0
5,लुम्बिनी प्रदेश,508,रुपन्देही,5082,रुपन्देही-2,0,0,0
5,लुम्बिनी प्रदेश,508,रुपन्देही,5083,रुपन्देही-3,0,0,0
5,लुम्बिनी प्रदेश,508,रुपन्देही,5084,रुपन्देही-4,0,0,0
5,लुम्बिनी प्रदेश,508,रुपन्देही,5085,रुपन्देही-5,0,0,0
5,लुम्बिनी प्रदेश,509,कपिलवस्तु,5091,कपिलवस्तु-1,0,0,0
5,लुम्बिनी प्रदेश,509,कपिलवस्तु,5092,कपिलवस्तु-2,0,0,0
5,लुम्बिनी प्रदेश,509,कपिलवस्तु,5093,कपिलवस्तु-3,0,0,0
5,लुम्बिनी प्रदेश,510,दाङ,5101,दाङ-1,0,0,0
5,लुम्बिनी प्रदेश,510,दाङ,5102,दाङ-2,0,0,0
5,लुम्बिनी प्रदेश,510,दाङ,5103,दाङ-3,0,0,0
5,लुम्बिनी प्रदेश,511,बाँके,5111,बाँके-1,0,0,0
5,लुम्बिनी प्रदेश,511,बाँके,5112,बाँके-2,0,0,0
5,लुम्बिनी प्रदेश,511,बाँके,5113,बाँके-3,0,0,0
5,लुम्बिनी प्रदेश,512,बर्दिया,5121,बर्दिया-1,0,0,0
5,लुम्बिनी प्रदेश,512,बर्दिया,5122,बर्दिया-2,0,0,0
6,कर्णाली प्रदेश,601,डोल्पा,6011,डोल्पा-1,0,0,0
6,कर्णाली प्रदेश,602,मुगु,6021,मुगु-1,0,0,0
6,कर्णाली प्रदेश,603,हुम्ला,6031,हुम्ला-1,0,0,0
6,कर्णाली प्रदेश,604,जुम्ला,6041,जुम्ला-1,0,0,0
6,कर्णाली प्रदेश,605,कालिकोट,6051,कालिकोट-1,0,0,0
6,कर्णाली प्रदेश,606,दैलेख,6061,दैलेख-1,0,0,0
6,कर्णाली प्रदेश,606,दैलेख,6062,दैलेख-2,0,0,0
6,कर्णाली प्रदेश,607,जाजरकोट,6071,जाजरकोट-1,0,0,0
6,कर्णाली प्रदेश,608,रुकुम पश्चिम,6081,रुकुम पश्चिम-1,0,0,0
6,कर्णाली प्रदेश,609,सल्यान,6091,सल्यान-1,0,0,0
6,कर्णाली प्रदेश,610,सुर्खेत,6101,सुर्खेत-1,0,0,0
6,कर्णाली प्रदेश,610,सुर्खेत,6102,सुर्खेत-2,0,0,0
7,सुदूरपश्चिम प्रदेश,701,बाजुरा,7011,बाजुरा-1,0,0,0
7,सुदूरपश्चिम प्रदेश,702,बझाङ्ग,7021,बझाङ्ग-1,0,0,0
7,सुदूरपश्चिम प्रदेश,703,दार्चुला,7031,दार्चुला-1,0,0,0
7,सुदूरपश्चिम प्रदेश,704,बैतडी,7041,बैतडी-1,0,0,0
7,सुदूरपश्चिम प्रदेश,705,डडेलधुरा,7051,डडेलधुरा-1,0,0,0
7,सुदूरपश्चिम प्रदेश,706,डोटी,7061,डोटी-1,0,0,0
7,सुदूरपश्चिम प्रदेश,707,अछाम,7071,अछाम-1,0,0,0
7,सुदूरपश्चिम प्रदेश,707,अछाम,7072,अछाम-2,0,0,0
7,सुदूरपश्चिम प्रदेश,708,कैलाली,7081,कैलाली-1,0,0,0
7,सुदूरपश्चिम प्रदेश,708,कैलाली,7082,कैलाली-2,0,0,0
7,सुदूरपश्चिम प्रदेश,708,कैलाली,7083,कैलाली-3,0,0,0
7,सुदूरपश्चिम प्रदेश,708,कैलाली,7084,कैलाली-4,0,0,0
7,सुदूरपश्चिम प्रदेश,708,कैलाली,7085,कैलाली-5,0,0,0
7,सुदूरपश्चिम प्रदेश,709,कन्चनपुर,7091,कन्चनपुर-1,0,0,0
7,सुदूरपश्चिम प्रदेश,709,कन्चनपुर,7092,कन्चनपुर-2,0,0,0
7,सुदूरपश्चिम प्रदेश,709,कन्चनपुर,7093,कन्चनपुर-3,0,0,0
